,rated,turns,victory_status,winner,white_rating,black_rating,opening_eco,opening_name,opening_ply,game_category,white level,black level,Rating_Diff,Quality,winner condition,base_time,increment_time
0,False,13,outoftime,white,1500,1191,D10,Slav Defense,5,rapid,Beginner,Beginner,309,Medium Quality,higher rating,15,2
1,True,16,resign,black,1322,1261,B00,Nimzowitsch Defense,4,blitz,Beginner,Beginner,61,High Quality,lower rating,5,10
2,True,61,mate,white,1496,1500,C20,King's Pawn Game,3,blitz,Beginner,Beginner,4,High Quality,higher rating,5,10
3,True,61,mate,white,1439,1454,D02,Queen's Pawn Game,3,rapid,Beginner,Beginner,15,High Quality,higher rating,20,0
4,True,95,mate,white,1523,1469,C41,Philidor Defense,5,rapid,Beginner,Beginner,54,High Quality,higher rating,30,3
5,False,5,draw,draw,1250,1002,B27,Sicilian Defense,4,rapid,Beginner,Rookie,248,Medium Quality,higher rating,10,0
6,True,33,resign,white,1520,1423,D00,Blackmar-Diemer Gambit,10,rapid,Beginner,Beginner,97,High Quality,higher rating,10,0
7,False,9,resign,black,1413,2108,B00,Nimzowitsch Defense,5,rapid,Beginner,Advanced,695,Low Quality,higher rating,15,30
8,True,66,resign,black,1439,1392,C50,Italian Game,6,rapid,Beginner,Beginner,47,High Quality,lower rating,15,0
9,True,119,mate,white,1381,1209,B01,Scandinavian Defense,4,rapid,Beginner,Beginner,172,High Quality,higher rating,10,0
10,False,39,mate,white,1381,1272,A00,Van't Kruijs Opening,1,rapid,Beginner,Beginner,109,High Quality,higher rating,20,60
11,False,38,resign,black,1381,1867,C02,French Defense,9,rapid,Beginner,Intermediate,486,Low Quality,higher rating,20,60
12,False,60,resign,black,1381,1936,C00,French Defense,3,blitz,Beginner,Intermediate,555,Low Quality,higher rating,5,40
13,False,31,resign,black,1381,1607,C00,French Defense #2,2,blitz,Beginner,Intermediate,226,Medium Quality,higher rating,8,0
14,False,31,mate,white,1094,1141,C50,Four Knights Game,8,rapid,Rookie,Beginner,47,High Quality,higher rating,15,15
